filename,source,suggested_label,min_centroid_distance_norm,final_label,flagged_for_review
0a626fcd5a092225d7d599bf606962cd_jpg.rf.3799e33cbcd07c557ae23e1e4c9c7f11.jpg,cooccurrence,safe,0.2472,unsafe,false
0a626fcd5a092225d7d599bf606962cd_jpg.rf.b93c0bb2a2266be6792f5d8637b35df8.jpg,cooccurrence,safe,0.2472,unsafe,false
0a626fcd5a092225d7d599bf606962cd_jpg.rf.df86cc2aa9dca60e577ca2d42d196f55.jpg,cooccurrence,safe,0.2472,unsafe,false
617cN0VhTaL__SL1500__jpg.rf.1ee5d0f502580789e3a6adb258f03ebe.jpg,cooccurrence,N/A (missing child or hazard box),,,false
617cN0VhTaL__SL1500__jpg.rf.af6257a2b0a1e64bb4874ce01ba9710a.jpg,cooccurrence,N/A (missing child or hazard box),,,false
617cN0VhTaL__SL1500__jpg.rf.fb1e645d6b1d2969bb10ada5581e5d9c.jpg,cooccurrence,N/A (missing child or hazard box),,,false
61bHf0ajv8L__SL1500__jpg.rf.34bf59756280258fd2e0e599ba1f51a2.jpg,cooccurrence,N/A (missing child or hazard box),,,false
61bHf0ajv8L__SL1500__jpg.rf.3aec20f5b4c8b13106765d4881dd3cc4.jpg,cooccurrence,N/A (missing child or hazard box),,,false
61bHf0ajv8L__SL1500__jpg.rf.d0b947ca281da229733f919e46b1aa20.jpg,cooccurrence,N/A (missing child or hazard box),,,false
9bfa2fed-dd74-47b7-a7c8-d69dbf98adbc_jpg.rf.0e5913bc6812216de0aa9d65c298800e.jpg,cooccurrence,safe,0.2332,unsafe,false
9bfa2fed-dd74-47b7-a7c8-d69dbf98adbc_jpg.rf.52a23914d32bd6254060abfbde348d08.jpg,cooccurrence,safe,0.2332,unsafe,false
9bfa2fed-dd74-47b7-a7c8-d69dbf98adbc_jpg.rf.feba0a660c25c156d3c11d3dbc1afde2.jpg,cooccurrence,safe,0.2332,unsafe,false
Dahle_children_safety_scissor_owl_54676_application-1024x722_jpg.rf.00deb04b00b5c7acee37f44e35f584c1.jpg,cooccurrence,safe,0.2675,unsafe,false
Dahle_children_safety_scissor_owl_54676_application-1024x722_jpg.rf.a384189cea041db6c83fcdfc621eed30.jpg,cooccurrence,safe,0.2675,unsafe,false
Dahle_children_safety_scissor_owl_54676_application-1024x722_jpg.rf.a78c93030e712487840b16c0cfd97d3a.jpg,cooccurrence,safe,0.2675,unsafe,false
F0131578-Two_children_playing_with_coins_jpg.rf.4837f537fee4d9a577221218033a6175.jpg,cooccurrence,safe,0.3847,unsafe,false
F0131578-Two_children_playing_with_coins_jpg.rf.d3fa0f81f68b7631db1965424e3724a5.jpg,cooccurrence,safe,0.3847,unsafe,false
