class,precision,recall,mAP50,mAP50_95
all,0.58883,0.52697,0.52561,0.39133
Axe,0.55476,0.32407,0.31863,0.1987
Chainsaw,0.55395,0.58333,0.55563,0.35332
Chisel,0.09834,0.07867,0.0582,0.03633
Coin,0.7888,0.82561,0.8433,0.73646
Drink,0.36712,0.31208,0.23226,0.10434
Dumbbell,0.4663,0.44444,0.36988,0.26373
Fork,0.73598,0.6,0.62473,0.37172
Hammer,0.51805,0.55556,0.55519,0.45433
Knife,0.75572,0.553,0.65596,0.49016
Scissors,0.79329,0.82716,0.85061,0.66842
Screwdriver,0.67282,0.63636,0.59998,0.4674
Stapler,0.76078,0.58333,0.643,0.55109
